Relations not resolved
System.Collections.Generic.SortedDictionary`2/ValueCollection/Enumerator 1 occurrences
System.Collections.Generic.SortedList`2 2 occurrences
System.Collections.Generic.SortedSet`1 4 occurrences
System.Collections.Generic.Stack`1 16 occurrences
System.Collections.Generic.Stack`1/Enumerator 3 occurrences
System.Collections.Hashtable 24 occurrences
System.Collections.ICollection 42 occurrences
System.Collections.IComparer 15 occurrences
System.Collections.IDictionary 64 occurrences
System.Collections.IDictionaryEnumerator 28 occurrences
System.Collections.IEnumerable 142 occurrences
System.Collections.IEnumerator 368 occurrences
System.Collections.IEqualityComparer 6 occurrences
System.Collections.IList 29 occurrences
System.Collections.IStructuralComparable 1 occurrences
System.Collections.IStructuralEquatable 1 occurrences
System.Collections.ObjectModel.Collection`1 11 occurrences
System.Collections.ObjectModel.ObservableCollection`1 2 occurrences
System.Collections.ObjectModel.ReadOnlyCollection`1 11 occurrences
System.Collections.ObjectModel.ReadOnlyDictionary`2 15 occurrences
System.Collections.Queue 1 occurrences
System.Collections.SortedList 3 occurrences
System.Collections.Specialized.HybridDictionary 1 occurrences
System.Collections.Specialized.NameValueCollection 6 occurrences
System.Collections.Specialized.OrderedDictionary 1 occurrences
System.Collections.Specialized.StringCollection 1 occurrences
System.Collections.Specialized.StringDictionary 2 occurrences
System.Collections.Stack 3 occurrences
System.Comparison`1 8 occurrences
System.ComponentModel.AddingNewEventHandler 2 occurrences
System.ComponentModel.BindingList`1 2 occurrences
System.ComponentModel.CancelEventArgs 1 occurrences
System.ComponentModel.CancelEventHandler 1 occurrences
System.ComponentModel.CategoryAttribute 1 occurrences
System.ComponentModel.Component 2 occurrences
System.ComponentModel.DescriptionAttribute 1 occurrences
System.ComponentModel.Design.ITypeResolutionService 1 occurrences
System.ComponentModel.EditorBrowsableState 1 occurrences
System.ComponentModel.IBindingList 4 occurrences
System.ComponentModel.ICancelAddNew 3 occurrences
System.ComponentModel.IChangeTracking 7 occurrences
System.ComponentModel.IDataErrorInfo 5 occurrences
System.ComponentModel.IEditableObject 7 occurrences
System.ComponentModel.INotifyPropertyChanged 8 occurrences
System.ComponentModel.INotifyPropertyChanging 3 occurrences
System.ComponentModel.IRaiseItemChangedEvents 3 occurrences
System.ComponentModel.IRevertibleChangeTracking 7 occurrences
System.ComponentModel.ISupportInitialize 10 occurrences
System.ComponentModel.ListChangedEventArgs 2 occurrences
System.ComponentModel.ListChangedEventHandler 5 occurrences
System.ComponentModel.ListChangedType 2 occurrences
System.ComponentModel.ListSortDirection 3 occurrences
System.ComponentModel.PropertyChangedEventArgs 10 occurrences
System.ComponentModel.PropertyChangedEventHandler 9 occurrences
